Timestamp,PID,Name,CPU (%),RAM (MB),RAM (%),Running Time
2026-08-21T23:17:03+07:00,2956,RuntimeBroker.exe,0.00,21.14,0.13,4h52m8s
2026-08-21T23:17:03+07:00,1508,SystemSettings.exe,0.02,3.05,0.02,4h49m40s
2026-08-21T23:17:08+07:00,2412,browser.exe,1.30,274.94,1.71,4h55m34s
2026-08-21T23:17:08+07:00,3336,Code.exe,0.18,51.20,0.32,3m39s
2026-08-21T23:17:08+07:00,1508,SystemSettings.exe,0.02,3.05,0.02,4h49m45s
2026-08-21T23:17:08+07:00,536,browser.exe,0.00,56.27,0.35,4h55m30s
2026-08-21T23:17:08+07:00,2956,RuntimeBroker.exe,0.00,21.14,0.13,4h52m13s
2026-08-21T23:17:08+07:00,2412,browser.exe,1.30,274.94,1.71,4h55m34s
2026-08-21T23:17:08+07:00,536,browser.exe,0.00,56.27,0.35,4h55m30s
2026-08-21T23:17:08+07:00,3336,Code.exe,0.18,51.20,0.32,3m39s
2026-08-21T23:17:08+07:00,2956,RuntimeBroker.exe,0.00,21.14,0.13,4h52m13s
2026-08-21T23:17:08+07:00,1508,SystemSettings.exe,0.02,3.05,0.02,4h49m45s
